n,method,avg_length,avg_time,avg_gap_pct
20,Greedy Insertion,4297.7347279804035,0.0010733835399150849,
20,Greedy Insertion + 2-opt fast,4159.670158356895,0.00016232505440711976,
20,MultiStart 2-opt fast (10),3977.9249659634893,0.014904083404690027,
20,MultiStart Greedy Insertion,4173.544905184831,0.011175508610904217,
20,MultiStart Nearest Neighbor,4172.666970077541,0.0011841666884720326,
20,Nearest Neighbor,4747.3928923052,4.567485302686691e-05,
20,Nearest Neighbor + 2-opt,4225.408522912947,0.0017575918696820735,
20,Nearest Neighbor + 2-opt fast,4225.408522912947,0.00032407501712441447,
20,Random,10727.994990168729,0.00014588311314582824,
20,Random + 2-opt,4580.211638303034,0.007181858364492655,
20,Random + 2-opt fast,4580.211638303034,0.0013667749240994453,
20,Simulated Annealing,3957.672173904242,0.034209308307617904,
50,Greedy Insertion,6700.669342910592,0.007739700004458427,
50,Greedy Insertion + 2-opt fast,6209.262358235211,0.0027761085890233516,
50,MultiStart 2-opt fast (10),5957.098032086883,0.26673985002562406,
50,MultiStart Greedy Insertion,6366.753915234092,0.3844465333968401,
50,MultiStart Nearest Neighbor,6432.568378359871,0.011453925166279078,
50,Nearest Neighbor,7141.179103866341,0.0002224835567176342,
50,Nearest Neighbor + 2-opt,6488.139606729407,0.07095554983243346,
50,Nearest Neighbor + 2-opt fast,6488.139606729407,0.004775375034660101,
50,Random,25915.53517599824,2.460842952132225e-05,
50,Random + 2-opt,6536.743788208206,0.4277001336216927,
50,Random + 2-opt fast,6536.743788208206,0.029190666507929564,
50,Simulated Annealing,6185.144684137691,0.030988550279289484,
100,Greedy Insertion,9110.16057199863,0.062019525188952686,
100,Greedy Insertion + 2-opt fast,8565.678818873133,0.021100958343595266,
100,MultiStart 2-opt fast (10),8169.415216570936,2.9180757832713424,
100,MultiStart Greedy Insertion,8804.145797400683,6.231457933597267,
100,MultiStart Nearest Neighbor,9060.506068964043,0.08705845000222326,
100,Nearest Neighbor,9680.938827862201,0.000874683540314436,
100,Nearest Neighbor + 2-opt,8895.46673344798,1.0845698665827512,
100,Nearest Neighbor + 2-opt fast,8895.46673344798,0.03745354162529111,
100,Random,51963.50772054106,4.735831171274185e-05,
100,Random + 2-opt,8844.755121722123,8.181218458153307,
100,Random + 2-opt fast,8844.755121722123,0.2868576666340232,
100,Simulated Annealing,8565.678818873133,0.031444425042718646,
