n,branch_policy,lower_bound,incumbent_heuristic,num_runs,avg_runtime,avg_nodes_explored,avg_pruned_states,avg_pruning_rate,proof_rate,time_limit_rate,avg_incumbent_updates
10,greedy,mst,multistart_2opt_fast,3,0.0027557223414381347,317.6666666666667,254.66666666666666,0.8171921887575718,1.0,0.0,0.6666666666666666
10,greedy,mst,nn_2opt_fast,3,0.0021031529953082404,317.3333333333333,255.0,0.8181166434737355,1.0,0.0,0.3333333333333333
10,greedy,trivial,greedy_2opt_fast,3,0.22908277794097862,158795.66666666666,103603.33333333333,0.6540514481176464,1.0,0.0,0.6666666666666666
10,greedy,trivial,multistart_2opt_fast,3,0.22909108316525817,157729.0,103128.66666666667,0.6552249719411689,1.0,0.0,0.6666666666666666
10,greedy,trivial,nn_2opt_fast,3,0.22786229212457934,157724.66666666666,103130.0,0.6552502926882967,1.0,0.0,0.3333333333333333
10,lexicographic,mst,greedy_2opt_fast,3,0.0021438196611901126,330.0,263.6666666666667,0.8058472266507363,1.0,0.0,1.0
10,lexicographic,mst,multistart_2opt_fast,3,0.0029553337953984737,347.0,276.6666666666667,0.8157496726032946,1.0,0.0,1.0
10,lexicographic,mst,nn_2opt_fast,3,0.0021261943814655146,336.0,269.0,0.8170814467863649,1.0,0.0,0.6666666666666666
10,lexicographic,trivial,greedy_2opt_fast,3,0.17988473549485207,158206.66666666666,103370.0,0.6548563792552843,1.0,0.0,1.0
10,lexicographic,trivial,multistart_2opt_fast,3,0.18392484728246927,160384.0,104691.33333333333,0.6542842828508587,1.0,0.0,1.0
10,lexicographic,trivial,nn_2opt_fast,3,0.18191644425193468,159501.66666666666,104156.0,0.6544923881249031,1.0,0.0,0.6666666666666666
10,nearest,mst,greedy_2opt_fast,3,0.002209694590419531,329.6666666666667,264.6666666666667,0.8134035425902857,1.0,0.0,0.6666666666666666
10,nearest,mst,multistart_2opt_fast,3,0.0028553190641105175,317.6666666666667,254.66666666666666,0.8171921887575718,1.0,0.0,0.6666666666666666
10,nearest,mst,nn_2opt_fast,3,0.0021137498940030732,317.3333333333333,255.0,0.8181166434737355,1.0,0.0,0.3333333333333333
10,nearest,trivial,greedy_2opt_fast,3,0.21934534702450037,158795.66666666666,103603.33333333333,0.6540514481176464,1.0,0.0,0.6666666666666666
10,nearest,trivial,multistart_2opt_fast,3,0.21103991692264876,157727.66666666666,103128.66666666667,0.6552302580472429,1.0,0.0,0.6666666666666666
10,nearest,trivial,nn_2opt_fast,3,0.20944861136376858,157724.66666666666,103130.0,0.6552502926882967,1.0,0.0,0.3333333333333333
10,random,mst,greedy_2opt_fast,3,0.002304986429711183,338.3333333333333,271.3333333333333,0.8116454008426928,1.0,0.0,0.6666666666666666
10,random,mst,multistart_2opt_fast,3,0.002955291730662187,339.6666666666667,270.6666666666667,0.8153735906481289,1.0,0.0,1.0
10,random,mst,nn_2opt_fast,3,0.002115833262602488,319.0,255.66666666666666,0.8171181332637293,1.0,0.0,0.6666666666666666
10,random,trivial,greedy_2opt_fast,3,0.21028305574630698,160205.0,104433.66666666667,0.6536534890617876,1.0,0.0,0.6666666666666666
10,random,trivial,multistart_2opt_fast,3,0.21584405532727638,158448.33333333334,103538.0,0.654876546257426,1.0,0.0,0.6666666666666666
