n,seed,branch_policy,lower_bound,incumbent_heuristic,optimal_cost,runtime,nodes_explored,pruned_states,pruning_rate,proof_time,optimality_proven,time_limit_hit,initial_incumbent,incumbent_updates
8,2,random,trivial,nn_2opt_fast,2294.803126824912,0.00848495913669467,6383,3351,0.5249882500391665,0.00848495913669467,True,False,2592.634457999709,5
8,2,random,trivial,greedy_2opt_fast,2294.803126824912,0.008744666818529367,6283,3345,0.5323889861531116,0.008744666818529367,True,False,2294.803126824912,0
8,2,random,trivial,multistart_2opt_fast,2294.8031268249115,0.008811500389128923,6283,3345,0.5323889861531116,0.008811500389128923,True,False,2294.8031268249115,0
8,2,lexicographic,mst,nn_2opt_fast,2294.803126824912,0.0009017921984195709,214,153,0.7149532710280374,0.0009017921984195709,True,False,2592.634457999709,4
8,2,lexicographic,mst,greedy_2opt_fast,2294.803126824912,0.00048516690731048584,70,56,0.8,0.00048516690731048584,True,False,2294.803126824912,0
8,2,lexicographic,mst,multistart_2opt_fast,2294.8031268249115,0.0007768329232931137,70,56,0.8,0.0007768329232931137,True,False,2294.8031268249115,0
8,2,nearest,mst,nn_2opt_fast,2294.803126824912,0.0004933332093060017,87,61,0.7011494252873564,0.0004933332093060017,True,False,2592.634457999709,3
8,2,nearest,mst,greedy_2opt_fast,2294.803126824912,0.00044625019654631615,70,56,0.8,0.00044625019654631615,True,False,2294.803126824912,0
8,2,nearest,mst,multistart_2opt_fast,2294.8031268249115,0.0007626251317560673,70,56,0.8,0.0007626251317560673,True,False,2294.8031268249115,0
8,2,greedy,mst,nn_2opt_fast,2294.803126824912,0.0004832502454519272,100,67,0.67,0.0004832502454519272,True,False,2592.634457999709,4
8,2,greedy,mst,greedy_2opt_fast,2294.803126824912,0.0004225000739097595,70,56,0.8,0.0004225000739097595,True,False,2294.803126824912,0
8,2,greedy,mst,multistart_2opt_fast,2294.8031268249115,0.0007325843907892704,70,56,0.8,0.0007325843907892704,True,False,2294.8031268249115,0
8,2,random,mst,nn_2opt_fast,2294.803126824912,0.0006198748014867306,126,87,0.6904761904761905,0.0006198748014867306,True,False,2592.634457999709,4
8,2,random,mst,greedy_2opt_fast,2294.803126824912,0.0004742918536067009,70,56,0.8,0.0004742918536067009,True,False,2294.803126824912,0
8,2,random,mst,multistart_2opt_fast,2294.8031268249115,0.0007705423049628735,70,56,0.8,0.0007705423049628735,True,False,2294.8031268249115,0
10,0,lexicographic,trivial,nn_2opt_fast,3279.2105192794525,0.19232512498274446,169132,109469,0.6472400255421801,0.19232512498274446,True,False,3308.3071930002307,2
10,0,lexicographic,trivial,greedy_2opt_fast,3279.2105192794525,0.18793008290231228,163794,106394,0.6495598129357608,0.18793008290231228,True,False,3279.210519279453,1
10,0,lexicographic,trivial,multistart_2opt_fast,3279.2105192794525,0.19551770901307464,171779,111075,0.6466157097200472,0.19551770901307464,True,False,3417.3312522310844,3
10,0,nearest,trivial,nn_2opt_fast,3279.2105192794525,0.21616208320483565,163801,106391,0.6495137392323612,0.21616208320483565,True,False,3308.3071930002307,1
10,0,nearest,trivial,greedy_2opt_fast,3279.2105192794525,0.23876670794561505,163794,106394,0.6495598129357608,0.23876670794561505,True,False,3279.210519279453,1
10,0,nearest,trivial,multistart_2opt_fast,3279.2105192794525,0.21836158400401473,163810,106387,0.6494536353091996,0.21836158400401473,True,False,3417.3312522310844,2
10,0,greedy,trivial,nn_2opt_fast,3279.2105192794525,0.23690158408135176,163801,106391,0.6495137392323612,0.23690158408135176,True,False,3308.3071930002307,1
10,0,greedy,trivial,greedy_2opt_fast,3279.2105192794525,0.2345941667445004,163794,106394,0.6495598129357608,0.2345941667445004,True,False,3279.210519279453,1
10,0,greedy,trivial,multistart_2opt_fast,3279.2105192794525,0.24055599980056286,163814,106387,0.6494377769909776,0.24055599980056286,True,False,3417.3312522310844,2
10,0,random,trivial,nn_2opt_fast,3279.2105192794525,0.2214255826547742,164255,106643,0.6492526863717999,0.2214255826547742,True,False,3308.3071930002307,2
10,0,random,trivial,greedy_2opt_fast,3279.2105192794525,0.21827899990603328,163794,106394,0.6495598129357608,0.21827899990603328,True,False,3279.210519279453,1
10,0,random,trivial,multistart_2opt_fast,3279.2105192794525,0.215915790759027,165972,107615,0.6483924999397489,0.215915790759027,True,False,3417.3312522310844,2
10,0,lexicographic,mst,nn_2opt_fast,3279.2105192794525,0.003961541224271059,700,550,0.7857142857142857,0.003961541224271059,True,False,3308.3071930002307,2
10,0,lexicographic,mst,greedy_2opt_fast,3279.2105192794525,0.003692875150591135,639,505,0.7902973395931142,0.003692875150591135,True,False,3279.210519279453,1
10,0,lexicographic,mst,multistart_2opt_fast,3279.2105192794525,0.004927834030240774,733,573,0.781718963165075,0.004927834030240774,True,False,3417.3312522310844,3
10,0,nearest,mst,nn_2opt_fast,3279.2105192794525,0.003674999810755253,644,508,0.7888198757763976,0.003674999810755253,True,False,3308.3071930002307,1
10,0,nearest,mst,greedy_2opt_fast,3279.2105192794525,0.0038750837557017803,639,505,0.7902973395931142,0.0038750837557017803,True,False,3279.210519279453,1
10,0,nearest,mst,multistart_2opt_fast,3279.2105192794525,0.004443458281457424,645,507,0.786046511627907,0.004443458281457424,True,False,3417.3312522310844,2
10,0,greedy,mst,nn_2opt_fast,3279.2105192794525,0.00394837511703372,644,508,0.7888198757763976,0.00394837511703372,True,False,3308.3071930002307,1
10,0,greedy,mst,greedy_2opt_fast,3279.2105192794525,0.00384554173797369,639,505,0.7902973395931142,0.00384554173797369,True,False,3279.210519279453,1
10,0,greedy,mst,multistart_2opt_fast,3279.2105192794525,0.004473167005926371,645,507,0.786046511627907,0.004473167005926371,True,False,3417.3312522310844,2
10,0,random,mst,nn_2opt_fast,3279.2105192794525,0.0038534998893737793,649,510,0.785824345146379,0.0038534998893737793,True,False,3308.3071930002307,2
10,0,random,mst,greedy_2opt_fast,3279.2105192794525,0.0038604591973125935,639,505,0.7902973395931142,0.0038604591973125935,True,False,3279.210519279453,1
10,0,random,mst,multistart_2opt_fast,3279.2105192794525,0.00490541709586978,711,555,0.7805907172995781,0.00490541709586978,True,False,3417.3312522310844,3
10,1,lexicographic,trivial,nn_2opt_fast,2833.2721574374555,0.2031169580295682,178129,114931,0.6452121776914483,0.2031169580295682,True,False,2833.2721574374555,0
10,1,lexicographic,trivial,greedy_2opt_fast,2833.2721574374555,0.20127845788374543,179582,115648,0.6439843636890111,0.20127845788374543,True,False,2893.4358227247294,2
10,1,lexicographic,trivial,multistart_2opt_fast,2833.2721574374555,0.20625708298757672,178129,114931,0.6452121776914483,0.20625708298757672,True,False,2833.2721574374555,0
10,1,nearest,trivial,nn_2opt_fast,2833.2721574374555,0.2365757916122675,178129,114931,0.6452121776914483,0.2365757916122675,True,False,2833.2721574374555,0
