n,seed,branch_policy,lower_bound,incumbent_heuristic,optimal_cost,runtime,nodes_explored,pruned_states,pruning_rate,proof_time,optimality_proven,time_limit_hit,initial_incumbent,incumbent_updates
8,100,lexicographic,mst,nn_2opt_fast,2504.4823142684736,0.0014378749765455723,313,224,0.7156549520766773,0.0014378749765455723,True,False,2850.6125392200865,4
8,100,random,mst,nn_2opt_fast,2504.4823142684736,0.0015555000863969326,349,247,0.7077363896848138,0.0015555000863969326,True,False,2850.6125392200865,6
8,100,nearest,mst,nn_2opt_fast,2504.4823142684736,0.0011506667360663414,222,166,0.7477477477477478,0.0011506667360663414,True,False,2850.6125392200865,1
8,100,greedy,mst,nn_2opt_fast,2504.4823142684736,0.0013259579427540302,297,215,0.7239057239057239,0.0013259579427540302,True,False,2850.6125392200865,2
8,100,learned,mst,nn_2opt_fast,2504.4823142684736,0.009019708260893822,222,166,0.7477477477477478,0.009019708260893822,True,False,2850.6125392200865,1
8,101,lexicographic,mst,nn_2opt_fast,2639.8130176934483,0.003480999730527401,928,664,0.7155172413793104,0.003480999730527401,True,False,2776.788114188846,3
8,101,random,mst,nn_2opt_fast,2639.813017693448,0.003913540858775377,868,621,0.7154377880184332,0.003913540858775377,True,False,2776.788114188846,3
8,101,nearest,mst,nn_2opt_fast,2639.8130176934483,0.0032309996895492077,783,567,0.7241379310344828,0.0032309996895492077,True,False,2776.788114188846,2
8,101,greedy,mst,nn_2opt_fast,2639.8130176934483,0.003818333148956299,786,567,0.7213740458015268,0.003818333148956299,True,False,2776.788114188846,3
8,101,learned,mst,nn_2opt_fast,2639.8130176934483,0.02940929215401411,783,567,0.7241379310344828,0.02940929215401411,True,False,2776.788114188846,2
8,102,lexicographic,mst,nn_2opt_fast,3006.6574701949944,0.0025363327004015446,564,412,0.7304964539007093,0.0025363327004015446,True,False,3006.657470194995,1
8,102,random,mst,nn_2opt_fast,3006.6574701949944,0.002440166659653187,564,412,0.7304964539007093,0.002440166659653187,True,False,3006.657470194995,1
8,102,nearest,mst,nn_2opt_fast,3006.6574701949944,0.002496750093996525,564,412,0.7304964539007093,0.002496750093996525,True,False,3006.657470194995,1
8,102,greedy,mst,nn_2opt_fast,3006.6574701949944,0.002633875235915184,564,412,0.7304964539007093,0.002633875235915184,True,False,3006.657470194995,1
8,102,learned,mst,nn_2opt_fast,3006.6574701949944,0.018770999740809202,564,412,0.7304964539007093,0.018770999740809202,True,False,3006.657470194995,1
10,100,lexicographic,mst,nn_2opt_fast,2652.6844323553687,0.018593958113342524,3637,2833,0.7789386857299972,0.018593958113342524,True,False,3072.2734514037465,9
10,100,random,mst,nn_2opt_fast,2652.6844323553687,0.024144541937857866,4835,3737,0.7729058945191314,0.024144541937857866,True,False,3072.2734514037465,10
10,100,nearest,mst,nn_2opt_fast,2652.6844323553687,0.014945457689464092,2783,2202,0.7912324829320877,0.014945457689464092,True,False,3072.2734514037465,2
10,100,greedy,mst,nn_2opt_fast,2652.6844323553687,0.01571670826524496,2812,2224,0.7908961593172119,0.01571670826524496,True,False,3072.2734514037465,2
10,100,learned,mst,nn_2opt_fast,2652.6844323553687,0.09148120786994696,2791,2207,0.790756001433178,0.09148120786994696,True,False,3072.2734514037465,2
10,101,lexicographic,mst,nn_2opt_fast,2792.894618783478,0.01364733325317502,2581,2023,0.7838047268500581,0.01364733325317502,True,False,3329.3193680127465,10
10,101,random,mst,nn_2opt_fast,2792.894618783478,0.011332374997437,2063,1622,0.7862336403296171,0.011332374997437,True,False,3329.3193680127465,6
10,101,nearest,mst,nn_2opt_fast,2792.894618783478,0.010101084131747484,1811,1431,0.7901711761457758,0.010101084131747484,True,False,3329.3193680127465,4
10,101,greedy,mst,nn_2opt_fast,2792.894618783478,0.010408957954496145,1822,1432,0.7859495060373216,0.010408957954496145,True,False,3329.3193680127465,8
10,101,learned,mst,nn_2opt_fast,2792.894618783478,0.0588042913004756,1811,1431,0.7901711761457758,0.0588042913004756,True,False,3329.3193680127465,4
10,102,lexicographic,mst,nn_2opt_fast,3117.2576052299205,0.008135125041007996,1466,1125,0.767394270122783,0.008135125041007996,True,False,3449.797740178973,11
10,102,random,mst,nn_2opt_fast,3117.2576052299205,0.008149459026753902,1490,1136,0.7624161073825504,0.008149459026753902,True,False,3449.797740178973,10
10,102,nearest,mst,nn_2opt_fast,3117.2576052299205,0.005920207593590021,1010,781,0.7732673267326733,0.005920207593590021,True,False,3449.797740178973,4
10,102,greedy,mst,nn_2opt_fast,3117.2576052299205,0.008355374913662672,1554,1157,0.7445302445302445,0.008355374913662672,True,False,3449.797740178973,9
10,102,learned,mst,nn_2opt_fast,3117.2576052299205,0.05206637503579259,1450,1084,0.7475862068965518,0.05206637503579259,True,False,3449.797740178973,8
12,100,lexicographic,mst,nn_2opt_fast,2902.8696224051905,0.01982808392494917,2320,1964,0.846551724137931,0.01982808392494917,True,False,2981.792124754537,2
12,100,random,mst,nn_2opt_fast,2902.8696224051905,0.023313541896641254,2783,2350,0.8444125044915559,0.023313541896641254,True,False,2981.792124754537,2
12,100,nearest,mst,nn_2opt_fast,2902.8696224051905,0.017184917349368334,1937,1647,0.8502839442436758,0.017184917349368334,True,False,2981.792124754537,2
12,100,greedy,mst,nn_2opt_fast,2902.8696224051905,0.017275584395974874,1998,1696,0.8488488488488488,0.017275584395974874,True,False,2981.792124754537,2
12,100,learned,mst,nn_2opt_fast,2902.8696224051905,0.06346604088321328,1937,1647,0.8502839442436758,0.06346604088321328,True,False,2981.792124754537,2
12,101,lexicographic,mst,nn_2opt_fast,3301.088256621528,0.05755291599780321,7487,6322,0.8443969547215173,0.05755291599780321,True,False,3301.088256621528,0
12,101,random,mst,nn_2opt_fast,3301.088256621528,0.05883533414453268,7487,6322,0.8443969547215173,0.05883533414453268,True,False,3301.088256621528,0
12,101,nearest,mst,nn_2opt_fast,3301.088256621528,0.059872125275433064,7487,6322,0.8443969547215173,0.059872125275433064,True,False,3301.088256621528,0
12,101,greedy,mst,nn_2opt_fast,3301.088256621528,0.06120550027117133,7487,6322,0.8443969547215173,0.06120550027117133,True,False,3301.088256621528,0
12,101,learned,mst,nn_2opt_fast,3301.088256621528,0.24811637494713068,7487,6322,0.8443969547215173,0.24811637494713068,True,False,3301.088256621528,0
12,102,lexicographic,mst,nn_2opt_fast,3213.196420737465,0.021616125013679266,2975,2407,0.8090756302521008,0.021616125013679266,True,False,3534.252390273866,9
12,102,random,mst,nn_2opt_fast,3213.196420737465,0.01896108314394951,2299,1908,0.8299260548064376,0.01896108314394951,True,False,3534.252390273866,11
12,102,nearest,mst,nn_2opt_fast,3213.196420737465,0.0039475830271840096,471,382,0.8110403397027601,0.0039475830271840096,True,False,3534.252390273866,2
12,102,greedy,mst,nn_2opt_fast,3213.196420737465,0.01345995906740427,2028,1605,0.7914201183431953,0.01345995906740427,True,False,3534.252390273866,5
12,102,learned,mst,nn_2opt_fast,3213.196420737465,0.05973133398219943,1753,1389,0.7923559612093554,0.05973133398219943,True,False,3534.252390273866,6
