n,seed,method,length,time,gap_pct
50,0,Nearest Neighbor + 2-opt,6592.313064593671,0.08226883271709085,
50,0,Nearest Neighbor + 2-opt fast,6592.313064593671,0.0057190838269889355,
50,0,MultiStart Nearest Neighbor,6672.543223434163,0.011881916783750057,
50,0,Greedy Insertion,6929.509461147103,0.0077574169263243675,
50,0,Greedy Insertion + 2-opt fast,6367.533533631855,0.0018301671370863914,
50,0,MultiStart Greedy Insertion,6694.095963092419,0.3845102498307824,
50,0,Simulated Annealing,6367.533533631855,0.031145500019192696,
50,0,MultiStart 2-opt fast (10),6021.87829633051,0.28414008393883705,
50,1,Random,26918.943141581098,1.5832949429750443e-05,
50,1,Random + 2-opt,6306.070135621897,0.4198283343575895,
50,1,Random + 2-opt fast,6306.070135621897,0.029183000326156616,
50,1,Nearest Neighbor,5938.371711264445,0.00021929200738668442,
50,1,Nearest Neighbor + 2-opt,5692.189663384639,0.057174207642674446,
50,1,Nearest Neighbor + 2-opt fast,5692.189663384639,0.0038807913661003113,
50,1,MultiStart Nearest Neighbor,5928.94832039016,0.011485334020107985,
50,1,Greedy Insertion,5873.945059455477,0.007573124952614307,
50,1,Greedy Insertion + 2-opt fast,5784.232878855938,0.0013810843229293823,
50,1,MultiStart Greedy Insertion,5873.945059455477,0.38501812471076846,
50,1,Simulated Annealing,5784.232878855938,0.030920333694666624,
50,1,MultiStart 2-opt fast (10),5448.535446584543,0.28158516669645905,
50,2,Random,25998.930225344826,3.187498077750206e-05,
50,2,Random + 2-opt,6365.086579523407,0.18453462468460202,
50,2,Random + 2-opt fast,6365.086579523407,0.012477457989007235,
50,2,Nearest Neighbor,7257.129296566725,0.0002199173904955387,
50,2,Nearest Neighbor + 2-opt,6427.149861055331,0.04069874994456768,
50,2,Nearest Neighbor + 2-opt fast,6427.149861055331,0.0026936661452054977,
50,2,MultiStart Nearest Neighbor,6111.003867161184,0.011325332801789045,
50,2,Greedy Insertion,6907.855220815775,0.007816832978278399,
